Id,Designator,Package,Designation,,Item Name,Part Number,,,Vendor,Quantity,Cost Per Item,,Cost,,Comments,URL
25,J1,MiniUSB_SMT,Mini USB,,SMD Mini USB,151-1206-1-ND,,,Digikey,1,0.54,,0.54,,,https://www.digikey.com/product-detail/en/edac-inc/690-005-299-043/151-1206-1-ND/4312192
26,J2,Pin_Header_Straight_1x03_Pitch2.54mm,Conn_01x03_Male,,,,,,Digikey,1,,,0,,,
27,"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10",L_0603_HandSoldering,Ferrite_Bead,,Ferrite Bead,732-1593-1-ND,,,Digikey,10,0.17,,1.7,,,https://www.digikey.com/products/en?keywords=732-1593-1-ND
28,Q1,SOT-323_SC-70_Handsoldering,Q_NMOS_GSD,,2N7002PW,1727-4793-1-ND,,,Digikey,1,0.33,,0.33,,,https://www.digikey.com/product-detail/en/nexperia-usa-inc/2N7002PW115/1727-4793-1-ND/2531274
29,Q2,SOT-23,MBT3904,,MBT3904 NPN BJT,MMBT3904TPMSTR-ND,,,Digikey,1,0.1,,0.1,,,https://www.digikey.com/product-detail/en/micro-commercial-co/MMBT3904-TP/MMBT3904TPMSCT-ND/717395
30,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13",TO-220-3_Vertical,Q_NMOS_GDS,,NMOSFET-PSMN1R1-30PL,1727-5291-ND,,,Digikey,11,3.39,,37.29,,,https://www.digikey.com/products/en?keywords=PSMN2R0-30PL
31,"R1,R3,R5,R6,R7,R8,R9",R_0603_HandSoldering,500,,0603 Resistor 500,RHM510DCT-ND,,,Digikey,7,0.1,,0.7,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ511/RHM510DCT-ND/1762937
32,"R2,R17,R22,R27,R33",R_0603_HandSoldering,10k,,0603 Resistor 10K,RHM10KADCT-ND,,,Digikey,5,0.1,,0.5,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPF1002/RHM10KADCT-ND/1983753
33,"R4,R24,R25",R_0603_HandSoldering,1k,,0603 Resistor 1K,RHM1.0KDCT-ND,,,Digikey,3,0.1,,0.3,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ102/RHM1.0KDCT-ND/1762924
34,"R10,R15",R_0603_HandSoldering,3000,,0603 Resistor 3K,MCT0603-3.00K-CFCT-ND,,,Digikey,2,0.18,,0.36,,,https://www.digikey.com/product-detail/en/vishay-beyschlag/MCT06030C3001FP500/MCT0603-3.00K-CFCT-ND/2607899
35,"R11,R16, R39",R_0603_HandSoldering,1000,,0603 Resistor 1K,RHM1.0KDCT-ND,,,Digikey,3,0.1,,0.3,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ102/RHM1.0KDCT-ND/1762924
36,"R12,R13,R14",R_Axial_Power_L25.0mm_W6.4mm_P30.48mm,5,,5 Ohm Resistor,YAG1224CT-ND,,,Digikey,3,0.72,,2.16,,,https://www.digikey.com/products/en?keywords=YAG1224CT-ND
37,"R18,R20, R40",R_0603_HandSoldering,10K,,0603 Resistor 10K,RHM10KADCT-ND,,,Digikey,3,0.14,,0.42,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPF1002/RHM10KADCT-ND/1983753
38,R19,R_0603_HandSoldering,1K,,0603 Resistor 1K,RHM1.0KDCT-ND,,,Digikey,1,0.1,,0.1,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPJ102/RHM1.0KDCT-ND/1762924
39,R21,R_0603_HandSoldering,250,,0603 Resistor 250,P249BLCT-ND,,,Digikey,1,0.13,,0.13,,,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-3AED2490V/P249BLCT-ND/3481424
40,"R23,R26,R28,R29,R30,R31,R32,R34,R36,R38",R_0603_HandSoldering,10,,0603 Resistor 10K,RHM10.0ADCT-ND,,,Digikey,10,0.12,,1.2,,,https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPF10R0/RHM10.0ADCT-ND/1983755
41,"R35,R37",R_0603_HandSoldering,330,,0603 Resistor 330,311-330HRCT-ND,,,Digikey,3,0.1,,0.3,,,https://www.digikey.com/product-detail/en/yageo/RC0603FR-07330RL/311-330HRCT-ND/730109
